client_id,id_ind,names,sex,birth_date,hometown,occupation_code,marriage,education,remit_bank,remit_branch,remit_account,transfer_bank,transfer_account,card_bank,credit_card_no,sign_ptn_card,risk_suit_seq,fatca_ind
4815412857,1,卓佳蓉,1,085/07/24,茅利塔尼亞,53485,5,4,915,9598,3957034183825553,420,6790699332089512,439,30130192567625,N,18,0
9828655310,5,李家瑋,1,067/12/09,澳門,90013,1,2,893,7348,7277839388610624,810,2847625328476654,535,6011605686040049,Y,69,1
3832464229,6,張威廷,0,013/09/14,澳門,56517,5,2,452,9568,6951724609086285,858,4022547928796263,75,5494086219079317,Y,961,9
9380636233,2,朱惠婷,2,041/01/04,巴哈馬,23816,2,3,109,8531,5928683442302756,470,3782967154127806,76,569119441362,N,532,8
5255370324,6,朱承翰,1,013/07/23,委內瑞拉,26731,2,2,514,7401,5926733976985749,801,4104996609642970,122,568387555465,Y,27,8
1196354844,2,狄彥廷,0,086/10/03,塞內加爾,27159,2,5,945,3899,1396125736292866,835,451006089661884,849,4813098181421270888,Y,425,1
7290923877,4,韓惠雯,2,091/05/13,阿拉伯聯合大公國,99247,5,3,987,153,2144202546175704,737,8468000373378492,532,38165430068673,N,945,9
370062474,2,董志宏,2,095/12/13,巴拿馬,23467,5,2,788,7426,7599732619763514,872,907892010350465,129,2264673151938520,N,566,0
5979687020,6,周嘉玲,0,035/03/16,塞浦路斯,76834,1,5,179,6145,4239973650136044,70,4218372400088218,510,4644730827111,N,354,9
8414418117,4,劉志宏,1,049/11/12,白俄羅斯,12848,5,5,169,2274,4910335060816778,685,2287159801762751,25,3585525715479138,Y,297,1
2577610401,1,陳佳蓉,2,046/05/14,南非,7348,9,2,455,6536,5527943028027493,616,9918654248266061,217,676351706285,Y,854,0
6118146268,5,陳鈺婷,1,078/01/02,納米比亞,93614,5,3,490,4890,2389976886254330,387,9736845645843462,353,2288286049752805,Y,352,1
